X,Y,Z
-3.043288203436556216e+01,-5.801334317546948682e+01,-1.463276389230592542e+02
4.016515729415370117e+01,5.933946102633674968e+01,-2.412036237529243579e+02
-4.192583850910015997e+01,3.513031106743909504e+00,-2.242184490067520244e+02
5.838956780700485183e+00,1.120806351798031244e+02,-1.853871224387143855e+02
2.583338178497031379e+01,-5.606669698885167463e+01,-2.483912261978211973e+02
-1.886483325851543214e+00,-3.805449732884444813e+01,-1.297059138225708637e+02
-2.062147658974762976e+01,9.534926636296924585e+01,-1.513092567418428871e+02
1.564574297978619200e+01,6.477598236568536549e+01,-1.856740183083907141e+02
4.769031053251755736e+01,3.679182365641756292e+01,-1.734581527955341187e+02
3.975386083718196062e+01,7.261176876539795444e+01,-2.002159646244457463e+02
1.185357044911147284e+01,1.057512498661520794e+01,-1.370730990987148346e+02
1.259412661400672562e+01,-5.951337078388510804e+01,-2.511356845472312500e+02
-9.415768370782060970e+00,1.392823127528697569e+01,-2.283428202673123906e+02
3.255510218950561807e+00,-7.382993143978495709e+01,-2.247077123157217784e+02
-2.603581080776672252e+01,8.613966332850532126e+01,-1.357353468991840373e+02
-1.628517429930300864e+01,-9.467329004990574504e+00,-2.491340871410847342e+02
2.892629935844475142e+01,3.283116079367957241e+01,-2.012991397340191497e+02
8.485156419488973256e+00,-1.054104383216182015e+02,-2.131578518788550980e+02
1.567607555463401070e+01,6.390342194736072656e+01,-1.603599659600860434e+02
-6.090678444711087991e+00,-1.039661039821677662e+02,-2.197111204442157941e+02
8.568795004755698130e+01,3.528421380227425175e+01,-2.034020768513712483e+02
1.977944820983513807e+01,-7.387253512937105882e+01,-1.514678995834572675e+02
2.273336322866991566e+01,-5.938468819035124113e+01,-1.808657765055302207e+02
5.715729061688217882e+01,1.009901940555661781e+01,-1.555535305571478375e+02
8.414647127924975223e+01,-3.751526397285915948e+01,-1.595876174588423169e+02
-5.907224782134079533e+01,-3.852762961213591097e+01,-1.863976297423214419e+02
-5.312882046680212511e+01,1.210375136862941758e+01,-2.402418279017886107e+02
1.350724275851969480e+01,-6.635171212196175361e+01,-1.990358440881352919e+02
3.271545709266568736e+01,2.020949854514137201e+01,-2.524332937467774514e+02
2.030455651260130878e+01,-2.412970216218447206e+01,-1.430353905940455945e+02
-3.777092515024943964e+01,-3.459767070210560291e+00,-2.129029776792662290e+02
-1.441167820379530440e+01,-3.223978981433160129e+01,-1.592420015275127412e+02
-8.180798597306534248e+00,1.063596475332142859e+02,-1.904963747280639268e+02
4.408684228063863486e+01,-8.463577243754613733e+01,-1.755930825838623832e+02
1.145975902896315262e+02,-4.749247456618266483e+01,-1.534518300026552993e+02
-7.696974447831553334e+01,-3.485995314129993972e+00,-1.695763315285145154e+02
-3.145307580566796446e+01,1.041487956556302947e+02,-1.802993529637640790e+02
-1.148417443389772075e+01,2.745491125590748993e+01,-1.487783501064519953e+02
1.252187534787033485e+01,-2.155358975784909603e+01,-2.376058394353734116e+02
7.863030685973185996e+00,2.520184170498015419e+01,-2.251946648708378120e+02
3.862684245307740127e+01,-1.424743580067057280e+01,-2.284489064759761163e+02
3.853521175249211694e+01,2.806821197385778532e+01,-1.689563645268801793e+02
2.003632397253028330e+00,-5.611271701059648365e+01,-2.375122293544116872e+02
6.320030643901354495e+01,-2.397388521663302186e+00,-1.679153227241919808e+02
-1.543312465086606267e+01,2.724508967172550911e+01,-2.071861045531181276e+02
-4.759521341506047065e+01,-3.239556534531392629e+01,-1.529480461294592715e+02
9.401828425698440128e+00,5.591126312908841101e+00,-2.701537383888206705e+02
-9.390135527336825305e+01,-2.169943226767965427e+01,-1.741984400428305548e+02
-9.797352332872080183e+01,-2.014511029537713682e+01,-1.964906189111189576e+02
2.493448207905449010e+01,-6.868377423653356573e+01,-2.150278988929961486e+02
-2.205427076657285568e+01,5.916954411994265683e+01,-1.331466915642710944e+02
-6.601263477517407807e+01,-9.442400103650754772e+00,-1.391085907737647176e+02
-4.935686888922641913e+01,-3.172537629854116403e+01,-2.425856158168203081e+02
-4.383675889773064682e+01,4.059953096983264231e+00,-2.252084236280635423e+02
7.366112096723675506e+01,3.061620398101175056e+01,-2.182525468147184711e+02
5.789001943516355198e+01,3.767417557464730749e+01,-2.376825798468570383e+02
-3.662834558107405769e+00,-7.350267449915044438e+01,-2.441726251519266100e+02
4.876578510198497440e+01,5.752654005494377998e+01,-2.240046830897929908e+02
9.574891816373438758e+01,-6.301097225329467477e+01,-1.375697301446987524e+02
-1.103225625958230580e+02,-5.817538029106842146e+00,-1.582909565845056932e+02
1.640278317902088645e+01,5.194001124276007886e+01,-2.415459324895966517e+02
8.536335235992903847e+01,6.982246792074960240e+00,-1.665538607798652606e+02
-6.446964314580327482e+01,2.247578379723529451e+01,-1.349047254897852497e+02
4.679828097729274816e+01,-2.655392455744586755e+01,-2.420129100233215524e+02
-3.480516247512140637e+01,-6.193397926344957227e+00,-2.238875584460104164e+02
1.260249502389102361e+01,3.200159197970003788e+01,-2.335654511970265617e+02
5.331880407043750836e+01,-2.470858618318159472e+01,-2.109914672833818940e+02
-7.731814604843117422e+01,-6.717721923273214202e+01,-1.597835951283241798e+02
1.479487699840463222e+01,3.446375100627184906e+01,-2.339821842382560533e+02
1.031670176074112675e+02,-1.476342959466140314e+01,-1.483101963019742868e+02
-7.986998687610117997e+01,3.222540339799587628e+01,-1.897372108752576878e+02
-8.721797177100761189e+01,3.564511182895870434e+00,-1.676379661427394012e+02
4.740313235579004925e+01,-1.327270766570535443e+00,-1.934821316542294767e+02
3.848504344982212899e+01,3.090448615187747805e+01,-1.861813511890654524e+02
2.243346460717869206e+01,3.637930002020956977e+01,-1.634955699931527988e+02
-2.152482976229566702e+01,5.968940540756221935e+00,-1.605422207167150077e+02
-3.661585725912615885e+01,1.831817068622629563e+01,-2.422614831601421201e+02
-3.440258825320066194e+01,2.688216444408149641e+01,-2.280106667014272261e+02
-3.209990344111164973e+01,-5.350381913564692127e+01,-2.083963625337375447e+02
2.450078462826967041e+01,7.450235145308391793e+01,-1.655481420789161007e+02
-8.492149448332563111e+01,-2.937494476554743983e+01,-1.366497144207628480e+02
-9.537898060253608890e+01,2.906334843581936411e+01,-1.761145677006845744e+02
-1.884057215505416139e+01,9.790848705694398291e+01,-1.397967191861779384e+02
-8.559105796788716702e+01,-1.220597329532211006e+01,-2.009908537740725478e+02
2.937884634364637293e+01,-2.210679796878552850e+01,-1.601711502642033906e+02
-4.313232505172749143e+01,-8.828253089660188380e+01,-1.603847563177278346e+02
-8.670037383218195259e+01,9.559200316088862337e+00,-1.969275105086377948e+02
9.315973677839396316e+01,1.252120676430712365e+01,-2.115499146465540434e+02
-5.287552005680269929e+01,-6.745141756819140255e+01,-1.729255783035589218e+02
-1.475187699881217895e+01,-1.554985786494391675e+01,-1.828811253389175704e+02
-4.519415424215088706e+01,8.505879083162000143e+01,-1.995455454585105031e+02
-1.847230530567807705e+01,4.301791962025072280e+01,-1.796577516060711162e+02
-1.108293753121191543e+02,-1.862849672676446744e+01,-1.678305714195497558e+02
1.607660966697604010e+01,4.336439831467518502e+01,-1.392490208407530190e+02
7.969890490988815657e+01,-1.737239093213773344e+01,-1.453093111716600561e+02
-1.048248566623937421e+02,1.673111520052634660e+01,-1.969674119027660595e+02
-3.176616185150201943e+01,1.958537976074558173e+01,-2.012847635744792001e+02
2.668250197309670568e+01,6.653821829986250691e+01,-2.359625096820027466e+02
5.319834249873518672e+01,-8.873571298296643306e+01,-1.866692099869235051e+02
-5.014800938997824176e+01,6.044201354455779551e+01,-2.067319519131437460e+02
